var,type,low,high,err
r,flt,5.000000000000000000000000000000e-01,9.999999999999998889776975374843e-01,4.451994328746878358187487165854e-14
r,flt,1.000000000000000000000000000000e+00,1.999999999999999777955395074969e+00,4.463096558993129923591723482535e-14
r,flt,2.000000000000000000000000000000e+00,3.999999999999999555910790149937e+00,4.485301019485633054400196115896e-14
r,flt,4.000000000000000000000000000000e+00,7.999999999999999111821580299875e+00,4.529709940470639316017141382620e-14
r,flt,8.000000000000000000000000000000e+00,1.599999999999999822364316059975e+01,4.618527782440651839251031916067e-14
r,flt,1.600000000000000000000000000000e+01,3.199999999999999644728632119950e+01,4.796163466380676885718812982962e-14
r,flt,3.200000000000000000000000000000e+01,6.399999999999999289457264239900e+01,5.151434834260726978654375116751e-14
r,flt,6.400000000000000000000000000000e+01,1.279999999999999857891452847980e+02,5.861977570020826533436775207520e-14
r,flt,1.280000000000000000000000000000e+02,1.999999999999999715782905695960e+02,7.283063041541026905179023742676e-14

