var,type,low,high,err
y,flt,4.844262586772479090013732161424e-02,4.844262601333633455613636442649e-02,4.944423814191497927063678249801e-16
y,flt,1.719262578050569090226673552024e-02,1.719262586772479090013732161424e-02,4.944423815294571991595534319956e-16
y,flt,4.844262578050569090226673552024e-02,4.844262586772479090013732161424e-02,4.944423815294571991595534319956e-16
y,flt,1.719262548928260012082169794212e-02,1.719262578050569090226673552024e-02,4.944423815811559874441176616750e-16
y,flt,4.844262548928260359026864989573e-02,4.844262578050569090226673552024e-02,4.944423815811559874441176616750e-16
y,flt,1.719262531484440359452747770774e-02,1.719262548928260012082169794212e-02,4.944423818017708003504888757060e-16
y,flt,4.844262531484440359452747770774e-02,4.844262548928260359026864989573e-02,4.944423818017708003504888757060e-16
y,flt,1.719262473239822203163740255150e-02,1.719262531484440359452747770774e-02,4.944423819051683769196173350649e-16
y,flt,4.844262473239822203163740255150e-02,4.844262531484440359452747770774e-02,4.944423819051683769196173350649e-16
y,flt,1.719262438352182897904896208274e-02,1.719262473239822203163740255150e-02,4.944423823463981013399729157533e-16
y,flt,4.844262438352182897904896208274e-02,4.844262473239822203163740255150e-02,4.944423823463981013399729157533e-16
y,flt,1.719262321862946585326881177025e-02,1.719262438352182897904896208274e-02,4.944423825531932544782298344712e-16
y,flt,4.844262321862946585326881177025e-02,4.844262438352182897904896208274e-02,4.944423825531932544782298344712e-16
y,flt,1.719262252087667974809193083274e-02,1.719262321862946585326881177025e-02,4.944423834356526047113278432215e-16
y,flt,4.844262252087667974809193083274e-02,4.844262321862946585326881177025e-02,4.944423834356526047113278432215e-16
y,flt,1.719262019109195349653163020776e-02,1.719262252087667974809193083274e-02,4.944423838492429109878416806572e-16
y,flt,4.844262019109195349653163020776e-02,4.844262252087667974809193083274e-02,4.944423838492429109878416806572e-16
y,flt,1.719261879558638128617786833274e-02,1.719262019109195349653163020776e-02,4.944423856141617100616508507843e-16
y,flt,4.844261879558638128617786833274e-02,4.844262019109195349653163020776e-02,4.944423856141617100616508507843e-16
y,flt,1.719261413601692878305726708277e-02,1.719261879558638128617786833274e-02,4.944423864413423226146785256557e-16
y,flt,4.844261413601692878305726708277e-02,4.844261879558638128617786833274e-02,4.944423864413423226146785256557e-16
y,flt,1.719261134500578436234974333274e-02,1.719261413601692878305726708277e-02,4.944423899711797235470705606569e-16
y,flt,4.844261134500578436234974333274e-02,4.844261413601692878305726708277e-02,4.944423899711797235470705606569e-16
y,flt,1.719260202586687935610854083279e-02,1.719261134500578436234974333274e-02,4.944423916255409486531259103997e-16
y,flt,4.844260202586687935610854083279e-02,4.844261134500578436234974333274e-02,4.944423916255409486531259103997e-16
y,flt,1.719259644384459051469349333274e-02,1.719260202586687935610854083279e-02,4.944423986852159477331362856551e-16
y,flt,4.844259644384459051469349333274e-02,4.844260202586687935610854083279e-02,4.944423986852159477331362856551e-16
y,flt,1.719257780556678050221108833284e-02,1.719259644384459051469349333274e-02,4.944424019939383979452469851407e-16
y,flt,4.844257780556678050221108833284e-02,4.844259644384459051469349333274e-02,4.944424019939383979452469851407e-16
y,flt,1.719256664152220281938099333274e-02,1.719257780556678050221108833284e-02,4.944424161132882974976545830251e-16
y,flt,4.844256664152220281938099333274e-02,4.844257780556678050221108833284e-02,4.944424161132882974976545830251e-16
y,flt,1.719252936496658279441618333294e-02,1.719256664152220281938099333274e-02,4.944424227307331979218759819963e-16
y,flt,4.844252936496658279441618333294e-02,4.844256664152220281938099333274e-02,4.944424227307331979218759819963e-16
y,flt,1.719250703687742742875599333274e-02,1.719252936496658279441618333294e-02,4.944424509694329970266911777650e-16
