var,type,low,high,err
y,flt,-1.577721810442023610823457130566e-30,-1.577721810442023435661149089963e-30,4.646657211166997598340596451492e-16
y,flt,-7.888609052210118054117285652828e-31,-7.888609052210117178305745449817e-31,4.646657211166997598340596451492e-16
y,flt,-3.944304526105059027058642826414e-31,-3.944304526105058589152872724909e-31,4.646657211166997598340596451492e-16
y,flt,-1.972152263052529513529321413207e-31,-1.972152263052529294576436362454e-31,4.646657211166997598340596451492e-16
y,flt,-9.860761315262647567646607066035e-32,-9.860761315262646472882181812271e-32,4.646657211166997598340596451492e-16
y,flt,-4.930380657631323783823303533017e-32,-4.930380657631323236441090906136e-32,4.646657211166997598340596451492e-16
y,flt,-2.465190328815661891911651766509e-32,-2.465190328815661618220545453068e-32,4.646657211166997598340596451492e-16
y,flt,-1.232595164407830945955825883254e-32,-1.232595164407830809110272726534e-32,4.646657211166997598340596451492e-16
y,flt,-6.162975822039154729779129416272e-33,-6.162975822039154045551363632670e-33,4.646657211166997598340596451492e-16
y,flt,-3.081487911019577364889564708136e-33,-3.081487911019577022775681816335e-33,4.646657211166997598340596451492e-16
y,flt,-1.540743955509788682444782354068e-33,-1.540743955509788511387840908167e-33,4.646657211166997598340596451492e-16
y,flt,-7.703719777548943412223911770340e-34,-7.703719777548942556939204540837e-34,4.646657211166997598340596451492e-16
y,flt,-3.851859888774471706111955885170e-34,-3.851859888774471278469602270419e-34,4.646657211166997598340596451492e-16
y,flt,-1.925929944387235853055977942585e-34,-1.925929944387235639234801135209e-34,4.646657211166997598340596451492e-16
y,flt,-9.629649721936179265279889712925e-35,-9.629649721936178196174005676046e-35,4.646657211166997598340596451492e-16
y,flt,-4.814824860968089632639944856462e-35,-4.814824860968089098087002838023e-35,4.646657211166997598340596451492e-16
y,flt,-2.407412430484044816319972428231e-35,-2.407412430484044549043501419012e-35,4.646657211166997598340596451492e-16
y,flt,-1.203706215242022408159986214116e-35,-1.203706215242022274521750709506e-35,4.646657211166997598340596451492e-16
y,flt,-6.018531076210112040799931070578e-36,-6.018531076210111372608753547529e-36,4.646657211166997598340596451492e-16
y,flt,-3.009265538105056020399965535289e-36,-3.009265538105055686304376773764e-36,4.646657211166997598340596451492e-16
y,flt,-1.504632769052528010199982767644e-36,-1.504632769052527843152188386882e-36,4.646657211166997598340596451492e-16
y,flt,-7.523163845262640050999913838222e-37,-7.523163845262639215760941934411e-37,4.646657211166997598340596451492e-16
y,flt,-3.761581922631320025499956919111e-37,-3.761581922631319607880470967206e-37,4.646657211166997598340596451492e-16
y,flt,-1.880790961315660012749978459556e-37,-1.880790961315659803940235483603e-37,4.646657211166997598340596451492e-16
y,flt,-9.403954806578300063749892297778e-38,-9.403954806578299019701177418014e-38,4.646657211166997598340596451492e-16
y,flt,-4.701977403289150031874946148889e-38,-4.701977403289149509850588709007e-38,4.646657211166997598340596451492e-16
y,flt,-2.350988701644575015937473074444e-38,-2.350988701644574754925294354504e-38,4.646657211166997598340596451492e-16
y,flt,-1.175494350822287507968736537222e-38,-1.175494350822287377462647177252e-38,4.646657211166997598340596451492e-16
y,flt,-5.877471754111437539843682686111e-39,-5.877471754111436887313235886259e-39,4.646657211166997598340596451492e-16
y,flt,-2.938735877055718769921841343056e-39,-2.938735877055718443656617943129e-39,4.646657211166997598340596451492e-16
y,flt,-1.469367938527859384960920671528e-39,-1.469367938527859221828308971565e-39,4.646657211166997598340596451492e-16
y,flt,-7.346839692639296924804603357639e-40,-7.346839692639296109141544857823e-40,4.646657211166997598340596451492e-16
y,flt,-3.673419846319648462402301678820e-40,-3.673419846319648054570772428912e-40,4.646657211166997598340596451492e-16
y,flt,-1.836709923159824231201150839410e-40,-1.836709923159824027285386214456e-40,4.646657211166997598340596451492e-16
y,flt,-9.183549615799121156005754197049e-41,-9.183549615799120136426931072279e-41,4.646657211166997598340596451492e-16
y,flt,-4.591774807899560578002877098524e-41,-4.591774807899560068213465536140e-41,4.646657211166997598340596451492e-16
y,flt,-2.295887403949780289001438549262e-41,-2.295887403949780034106732768070e-41,4.646657211166997598340596451492e-16
y,flt,-1.147943701974890144500719274631e-41,-1.147943701974890017053366384035e-41,4.646657211166997598340596451492e-16
y,flt,-5.739718509874450722503596373155e-42,-5.739718509874450085266831920175e-42,4.646657211166997598340596451492e-16
y,flt,-2.869859254937225361251798186578e-42,-2.869859254937225042633415960087e-42,4.646657211166997598340596451492e-16
y,flt,-1.434929627468612680625899093289e-42,-1.434929627468612521316707980044e-42,4.646657211166997598340596451492e-16
y,flt,-7.174648137343063403129495466444e-43,-7.174648137343062606583539900218e-43,4.646657211166997598340596451492e-16
y,flt,-3.587324068671531701564747733222e-43,-3.587324068671531303291769950109e-43,4.646657211166997598340596451492e-16
y,flt,-1.793662034335765850782373866611e-43,-1.793662034335765651645884975055e-43,4.646657211166997598340596451492e-16
y,flt,-8.968310171678829253911869333055e-44,-8.968310171678828258229424875273e-44,4.646657211166997598340596451492e-16
y,flt,-4.484155085839414626955934666528e-44,-4.484155085839414129114712437636e-44,4.646657211166997598340596451492e-16
y,flt,-2.242077542919707313477967333264e-44,-2.242077542919707064557356218818e-44,4.646657211166997598340596451492e-16
y,flt,-1.121038771459853656738983666632e-44,-1.121038771459853532278678109409e-44,4.646657211166997598340596451492e-16
y,flt,-5.605193857299268283694918333160e-45,-5.605193857299267661393390547045e-45,4.646657211166997598340596451492e-16
y,flt,-2.802596928649634141847459166580e-45,-2.802596928649633830696695273523e-45,4.646657211166997598340596451492e-16
y,flt,-1.401298464324817070923729583290e-45,-1.401298464324816915348347636761e-45,4.646657211166997598340596451492e-16
y,flt,-7.006492321624085354618647916450e-46,-7.006492321624084576741738183807e-46,4.646657211166997598340596451492e-16
y,flt,-3.503246160812042677309323958225e-46,-3.503246160812042288370869091903e-46,4.646657211166997598340596451492e-16
y,flt,-1.751623080406021338654661979112e-46,-1.751623080406021144185434545952e-46,4.646657211166997598340596451492e-16
y,flt,-8.758115402030106693273309895562e-47,-8.758115402030105720927172729759e-47,4.646657211166997598340596451492e-16
y,flt,-4.379057701015053346636654947781e-47,-4.379057701015052860463586364879e-47,4.646657211166997598340596451492e-16
y,flt,-2.189528850507526673318327473890e-47,-2.189528850507526430231793182440e-47,4.646657211166997598340596451492e-16
y,flt,-1.094764425253763336659163736945e-47,-1.094764425253763215115896591220e-47,4.646657211166997598340596451492e-16
y,flt,-5.473822126268816683295818684726e-48,-5.473822126268816075579482956099e-48,4.646657211166997598340596451492e-16
y,flt,-2.736911063134408341647909342363e-48,-2.736911063134408037789741478050e-48,4.646657211166997598340596451492e-16
y,flt,-1.368455531567204170823954671182e-48,-1.368455531567204018894870739025e-48,4.646657211166997598340596451492e-16
y,flt,-6.842277657836020854119773355908e-49,-6.842277657836020094474353695124e-49,4.646657211166997598340596451492e-16
y,flt,-3.421138828918010427059886677954e-49,-3.421138828918010047237176847562e-49,4.646657211166997598340596451492e-16
y,flt,-1.710569414459005213529943338977e-49,-1.710569414459005023618588423781e-49,4.646657211166997598340596451492e-16
y,flt,-8.552847072295026067649716694885e-50,-8.552847072295025118092942118905e-50,4.646657211166997598340596451492e-16
y,flt,-4.276423536147513033824858347442e-50,-4.276423536147512559046471059452e-50,4.646657211166997598340596451492e-16
y,flt,-2.138211768073756516912429173721e-50,-2.138211768073756279523235529726e-50,4.646657211166997598340596451492e-16
y,flt,-1.069105884036878258456214586861e-50,-1.069105884036878139761617764863e-50,4.646657211166997598340596451492e-16
y,flt,-5.345529420184391292281072934303e-51,-5.345529420184390698808088824316e-51,4.646657211166997598340596451492e-16
y,flt,-2.672764710092195646140536467151e-51,-2.672764710092195349404044412158e-51,4.646657211166997598340596451492e-16
y,flt,-1.336382355046097823070268233576e-51,-1.336382355046097674702022206079e-51,4.646657211166997598340596451492e-16
y,flt,-6.681911775230489115351341167879e-52,-6.681911775230488373510111030394e-52,4.646657211166997598340596451492e-16
y,flt,-3.340955887615244557675670583939e-52,-3.340955887615244186755055515197e-52,4.646657211166997598340596451492e-16
y,flt,-1.670477943807622278837835291970e-52,-1.670477943807622093377527757599e-52,4.646657211166997598340596451492e-16
y,flt,-8.352389719038111394189176459848e-53,-8.352389719038110466887638787993e-53,4.646657211166997598340596451492e-16
y,flt,-4.176194859519055697094588229924e-53,-4.176194859519055233443819393997e-53,4.646657211166997598340596451492e-16
y,flt,-2.088097429759527848547294114962e-53,-2.088097429759527616721909696998e-53,4.646657211166997598340596451492e-16
y,flt,-1.044048714879763924273647057481e-53,-1.044048714879763808360954848499e-53,4.646657211166997598340596451492e-16
y,flt,-5.220243574398819621368235287405e-54,-5.220243574398819041804774242496e-54,4.646657211166997598340596451492e-16
y,flt,-2.610121787199409810684117643703e-54,-2.610121787199409520902387121248e-54,4.646657211166997598340596451492e-16
y,flt,-1.305060893599704905342058821851e-54,-1.305060893599704760451193560624e-54,4.646657211166997598340596451492e-16
y,flt,-6.525304467998524526710294109257e-55,-6.525304467998523802255967803120e-55,4.646657211166997598340596451492e-16
y,flt,-3.262652233999262263355147054628e-55,-3.262652233999261901127983901560e-55,4.646657211166997598340596451492e-16
y,flt,-1.631326116999631131677573527314e-55,-1.631326116999630950563991950780e-55,4.646657211166997598340596451492e-16
y,flt,-8.156630584998155658387867636571e-56,-8.156630584998154752819959753899e-56,4.646657211166997598340596451492e-16
y,flt,-4.078315292499077829193933818285e-56,-4.078315292499077376409979876950e-56,4.646657211166997598340596451492e-16
y,flt,-2.039157646249538914596966909143e-56,-2.039157646249538688204989938475e-56,4.646657211166997598340596451492e-16
y,flt,-1.019578823124769457298483454571e-56,-1.019578823124769344102494969237e-56,4.646657211166997598340596451492e-16
y,flt,-5.097894115623847286492417272857e-57,-5.097894115623846720512474846187e-57,4.646657211166997598340596451492e-16
y,flt,-2.548947057811923643246208636428e-57,-2.548947057811923360256237423094e-57,4.646657211166997598340596451492e-16
y,flt,-1.274473528905961821623104318214e-57,-1.274473528905961680128118711547e-57,4.646657211166997598340596451492e-16
y,flt,-6.372367644529809108115521591071e-58,-6.372367644529808400640593557734e-58,4.646657211166997598340596451492e-16
y,flt,-3.186183822264904554057760795535e-58,-3.186183822264904200320296778867e-58,4.646657211166997598340596451492e-16
y,flt,-1.593091911132452277028880397768e-58,-1.593091911132452100160148389433e-58,4.646657211166997598340596451492e-16
y,flt,-7.965459555662261385144401988839e-59,-7.965459555662260500800741947167e-59,4.646657211166997598340596451492e-16
y,flt,-3.982729777831130692572200994419e-59,-3.982729777831130250400370973584e-59,4.646657211166997598340596451492e-16
y,flt,-1.991364888915565346286100497210e-59,-1.991364888915565125200185486792e-59,4.646657211166997598340596451492e-16
y,flt,-9.956824444577826731430502486048e-60,-9.956824444577825626000927433959e-60,4.646657211166997598340596451492e-16
y,flt,-4.978412222288913365715251243024e-60,-4.978412222288912813000463716980e-60,4.646657211166997598340596451492e-16
y,flt,-2.489206111144456682857625621512e-60,-2.489206111144456406500231858490e-60,4.646657211166997598340596451492e-16
y,flt,-1.244603055572228341428812810756e-60,-1.244603055572228203250115929245e-60,4.646657211166997598340596451492e-16
y,flt,-6.223015277861141707144064053780e-61,-6.223015277861141016250579646225e-61,4.646657211166997598340596451492e-16
y,flt,-3.111507638930570853572032026890e-61,-3.111507638930570508125289823112e-61,4.646657211166997598340596451492e-16
y,flt,-1.555753819465285426786016013445e-61,-1.555753819465285254062644911556e-61,4.646657211166997598340596451492e-16
y,flt,-7.778769097326427133930080067225e-62,-7.778769097326426270313224557781e-62,4.646657211166997598340596451492e-16
y,flt,-3.889384548663213566965040033613e-62,-3.889384548663213135156612278890e-62,4.646657211166997598340596451492e-16
y,flt,-1.944692274331606783482520016806e-62,-1.944692274331606567578306139445e-62,4.646657211166997598340596451492e-16
y,flt,-9.723461371658033917412600084031e-63,-9.723461371658032837891530697226e-63,4.646657211166997598340596451492e-16
y,flt,-4.861730685829016958706300042016e-63,-4.861730685829016418945765348613e-63,4.646657211166997598340596451492e-16
y,flt,-2.430865342914508479353150021008e-63,-2.430865342914508209472882674306e-63,4.646657211166997598340596451492e-16
y,flt,-1.215432671457254239676575010504e-63,-1.215432671457254104736441337153e-63,4.646657211166997598340596451492e-16
y,flt,-6.077163357286271198382875052520e-64,-6.077163357286270523682206685766e-64,4.646657211166997598340596451492e-16
y,flt,-3.038581678643135599191437526260e-64,-3.038581678643135261841103342883e-64,4.646657211166997598340596451492e-16
y,flt,-1.519290839321567799595718763130e-64,-1.519290839321567630920551671442e-64,4.646657211166997598340596451492e-16
y,flt,-7.596454196607838997978593815650e-65,-7.596454196607838154602758357208e-65,4.646657211166997598340596451492e-16
y,flt,-3.798227098303919498989296907825e-65,-3.798227098303919077301379178604e-65,4.646657211166997598340596451492e-16
y,flt,-1.899113549151959749494648453912e-65,-1.899113549151959538650689589302e-65,4.646657211166997598340596451492e-16
y,flt,-9.495567745759798747473242269562e-66,-9.495567745759797693253447946510e-66,4.646657211166997598340596451492e-16
y,flt,-4.747783872879899373736621134781e-66,-4.747783872879898846626723973255e-66,4.646657211166997598340596451492e-16
y,flt,-2.373891936439949686868310567390e-66,-2.373891936439949423313361986627e-66,4.646657211166997598340596451492e-16
y,flt,-1.186945968219974843434155283695e-66,-1.186945968219974711656680993314e-66,4.646657211166997598340596451492e-16
y,flt,-5.934729841099874217170776418476e-67,-5.934729841099873558283404966569e-67,4.646657211166997598340596451492e-16
y,flt,-2.967364920549937108585388209238e-67,-2.967364920549936779141702483284e-67,4.646657211166997598340596451492e-16
y,flt,-1.483682460274968554292694104619e-67,-1.483682460274968389570851241642e-67,4.646657211166997598340596451492e-16
y,flt,-7.418412301374842771463470523095e-68,-7.418412301374841947854256208211e-68,4.646657211166997598340596451492e-16
y,flt,-3.709206150687421385731735261548e-68,-3.709206150687420973927128104105e-68,4.646657211166997598340596451492e-16
y,flt,-1.854603075343710692865867630774e-68,-1.854603075343710486963564052053e-68,4.646657211166997598340596451492e-16
y,flt,-9.273015376718553464329338153869e-69,-9.273015376718552434817820260263e-69,4.646657211166997598340596451492e-16
y,flt,-4.636507688359276732164669076935e-69,-4.636507688359276217408910130132e-69,4.646657211166997598340596451492e-16
y,flt,-2.318253844179638366082334538467e-69,-2.318253844179638108704455065066e-69,4.646657211166997598340596451492e-16
y,flt,-1.159126922089819183041167269234e-69,-1.159126922089819054352227532533e-69,4.646657211166997598340596451492e-16
y,flt,-5.795634610449095915205836346168e-70,-5.795634610449095271761137662665e-70,4.646657211166997598340596451492e-16
y,flt,-2.897817305224547957602918173084e-70,-2.897817305224547635880568831332e-70,4.646657211166997598340596451492e-16
y,flt,-1.448908652612273978801459086542e-70,-1.448908652612273817940284415666e-70,4.646657211166997598340596451492e-16
y,flt,-7.244543263061369894007295432710e-71,-7.244543263061369089701422078331e-71,4.646657211166997598340596451492e-16
y,flt,-3.622271631530684947003647716355e-71,-3.622271631530684544850711039165e-71,4.646657211166997598340596451492e-16
y,flt,-1.811135815765342473501823858178e-71,-1.811135815765342272425355519583e-71,4.646657211166997598340596451492e-16
y,flt,-9.055679078826712367509119290888e-72,-9.055679078826711362126777597913e-72,4.646657211166997598340596451492e-16
y,flt,-4.527839539413356183754559645444e-72,-4.527839539413355681063388798957e-72,4.646657211166997598340596451492e-16
y,flt,-2.263919769706678091877279822722e-72,-2.263919769706677840531694399478e-72,4.646657211166997598340596451492e-16
y,flt,-1.131959884853339045938639911361e-72,-1.131959884853338920265847199739e-72,4.646657211166997598340596451492e-16
y,flt,-5.659799424266695229693199556805e-73,-5.659799424266694601329235998696e-73,4.646657211166997598340596451492e-16
y,flt,-2.829899712133347614846599778402e-73,-2.829899712133347300664617999348e-73,4.646657211166997598340596451492e-16
y,flt,-1.414949856066673807423299889201e-73,-1.414949856066673650332308999674e-73,4.646657211166997598340596451492e-16
y,flt,-7.074749280333369037116499446006e-74,-7.074749280333368251661544998370e-74,4.646657211166997598340596451492e-16
y,flt,-3.537374640166684518558249723003e-74,-3.537374640166684125830772499185e-74,4.646657211166997598340596451492e-16
y,flt,-1.768687320083342259279124861502e-74,-1.768687320083342062915386249592e-74,4.646657211166997598340596451492e-16
y,flt,-8.843436600416711296395624307508e-75,-8.843436600416710314576931247962e-75,4.646657211166997598340596451492e-16
y,flt,-4.421718300208355648197812153754e-75,-4.421718300208355157288465623981e-75,4.646657211166997598340596451492e-16
y,flt,-2.210859150104177824098906076877e-75,-2.210859150104177578644232811991e-75,4.646657211166997598340596451492e-16
y,flt,-1.105429575052088912049453038438e-75,-1.105429575052088789322116405995e-75,4.646657211166997598340596451492e-16
y,flt,-5.527147875260444560247265192192e-76,-5.527147875260443946610582029976e-76,4.646657211166997598340596451492e-16
y,flt,-2.763573937630222280123632596096e-76,-2.763573937630221973305291014988e-76,4.646657211166997598340596451492e-16
y,flt,-1.381786968815111140061816298048e-76,-1.381786968815110986652645507494e-76,4.646657211166997598340596451492e-16
y,flt,-6.908934844075555700309081490240e-77,-6.908934844075554933263227537471e-77,4.646657211166997598340596451492e-16
y,flt,-3.454467422037777850154540745120e-77,-3.454467422037777466631613768735e-77,4.646657211166997598340596451492e-16
y,flt,-1.727233711018888925077270372560e-77,-1.727233711018888733315806884368e-77,4.646657211166997598340596451492e-16
y,flt,-8.636168555094444625386351862800e-78,-8.636168555094443666579034421838e-78,4.646657211166997598340596451492e-16
